食品名,エネルギー（kcal）
（えんどう類）　トウミョウ　芽ばえ　ゆで,28
（えんどう類）　トウミョウ　芽ばえ　油いため,84
（えんどう類）　さやえんどう　若ざや　生,38
（えんどう類）　さやえんどう　若ざや　ゆで,36
（えんどう類）　スナップえんどう　若ざや　生,47
（えんどう類）　グリンピース　生,76
（えんどう類）　グリンピース　ゆで,99
（えんどう類）　グリンピース　冷凍,80
（えんどう類）　グリンピース　冷凍　ゆで,82
（えんどう類）　グリンピース　冷凍　油いため,114
（えんどう類）　グリンピース　水煮缶詰,82
おおさかしろな　葉　生,12
おおさかしろな　葉　ゆで,16
おおさかしろな　塩漬,19
おかひじき　茎葉　生,16
おかひじき　茎葉　ゆで,16
オクラ　果実　生,26
オクラ　果実　ゆで,29
かぶ　葉　生,20
かぶ　葉　ゆで,20
かぶ　根　皮つき　生,18
かぶ　根　皮つき　ゆで,18
かぶ　根　皮なし　生,19
かぶ　根　皮なし　ゆで,20
かぶ　漬物　塩漬　葉,27
かぶ　漬物　塩漬　根　皮つき,21
かぶ　漬物　塩漬　根　皮なし,19
かぶ　漬物　ぬかみそ漬　葉,35
かぶ　漬物　ぬかみそ漬　根　皮つき,27
かぶ　漬物　ぬかみそ漬　根　皮なし,31
（かぼちゃ類）　日本かぼちゃ　果実　生,41
（かぼちゃ類）　日本かぼちゃ　果実　ゆで,50
（かぼちゃ類）　西洋かぼちゃ　果実　生,78
（かぼちゃ類）　西洋かぼちゃ　果実　ゆで,80
（かぼちゃ類）　西洋かぼちゃ　果実　焼き,105
（かぼちゃ類）　西洋かぼちゃ　果実　冷凍,75
（かぼちゃ類）　そうめんかぼちゃ　果実　生,25
からしな　葉　生,26
からしな　塩漬,36
カリフラワー　花序　生,28
カリフラワー　花序　ゆで,26
かんぴょう　乾,239
かんぴょう　ゆで,21
かんぴょう　甘煮,146
きく　花びら　生,25
きく　花びら　ゆで,21
きく　菊のり,283
（キャベツ類）　キャベツ　結球葉　生,21
（キャベツ類）　キャベツ　結球葉　ゆで,19
（キャベツ類）　キャベツ　結球葉　油いため,78
（キャベツ類）　グリーンボール　結球葉　生,20
（キャベツ類）　レッドキャベツ　結球葉　生,30
きゅうり　果実　生,13
きゅうり　漬物　塩漬,17
きゅうり　漬物　しょうゆ漬,51
きゅうり　漬物　ぬかみそ漬,28
きゅうり　漬物　ピクルス　スイート型,70
きゅうり　漬物　ピクルス　サワー型,13
ぎょうじゃにんにく　葉　生,35
キンサイ　茎葉　生,16
キンサイ　茎葉　ゆで,15
クレソン　茎葉　生,13
くわい　塊茎　生,128
くわい　塊茎　ゆで,129
ケール　葉　生,26
コールラビ　球茎　生,21
コールラビ　球茎　ゆで,20
こごみ　若芽　生,25
ごぼう　根　生,58
ごぼう　根　ゆで,50
こまつな　葉　生,13
こまつな　葉　ゆで,14
コリアンダー　葉　生,18
ザーサイ　漬物,20
さんとうさい　葉　生,12
さんとうさい　葉　ゆで,14
さんとうさい　塩漬,18
しかくまめ　若ざや　生,19
ししとう　果実　生,24
ししとう　果実　油いため,51
しそ　葉　生,32
しそ　実　生,32
じゅうろくささげ　若ざや　生,22
じゅうろくささげ　若ざや　ゆで,28
しゅんぎく　葉　生,20
しゅんぎく　葉　ゆで,25
じゅんさい　若葉　水煮びん詰,4
（しょうが類）　葉しょうが　根茎　生,9
（しょうが類）　しょうが　根茎　皮なし　生,28
（しょうが類）　しょうが　根茎　皮なし　生　おろし,58
（しょうが類）　しょうが　根茎　皮なし　生　おろし汁,17
